day,product,post_type,theme,suggested_time,caption,hashtags,max_similarity,sources
21,For Ameer,FAQ,Thank You,21:00,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
22,Raya For Her,Relatable Funny,Corporate,12:30,"Givana, emerald indulgence",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/box; https://givana.my/product/raya-for-her; https://givana.my/product/sakinah-gift
23,Sakinah Gift,Mini Story,Corporate,20:45,"Givana, emerald indulgence",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/box; https://givana.my/product/raya-for-her; https://givana.my/product/sakinah-gift
24,Salam Kareem,Occasion Reminder,Thank You,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
25,The Beary Crush,Product Spotlight,Hari Raya,12:30,Givana is promoting the Beary Crush.,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/salam-kareem; https://givana.my/product/the-beary-crush
26,The Tranquil Solat,Gifting Tip,Hari Raya,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/raya-for-her; https://givana.my/product/the-tranquil-solat
27,Where’s My Love,FAQ,Just Because,11:00,Givana is promoting its products on social media.,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.833,https://givana.my/product/cookies-with-love; https://givana.my/product/wheres-my-love
28,Cookies with Love,Relatable Funny,Corporate,11:00,"Givana, ...",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/cookies-with-love; https://givana.my/product/the-beary-crush; https://givana.my/product/wheres-my-love
29,Emerald Indulgence,Mini Story,Thank You,20:45,Givana is promoting its online gift shop on social media,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/box; https://givana.my/product/sakinah-gift; https://givana.my/product/salam-kareem
30,For Ameer,Occasion Reminder,Hari Raya,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
